Policy,Solver,N,SeqVars,TabulationTime,SavileRowTotalTime,SolverTotalTime,SolverNodes,Arity
notab,cadical,10,2,,0.204,0.02,3470.0,3
notab,cadical,10,3,,0.254,0.02,3641.0,4
notab,cadical,10,4,,0.331,0.02,2589.0,5
notab,cadical,10,5,,0.359,0.03,3713.0,6
notab,cadical,12,2,,0.239,0.06,9961.0,3
notab,cadical,12,3,,0.303,0.07,9605.0,4
notab,cadical,12,4,,0.402,0.09,10865.0,5
notab,cadical,12,5,,0.442,0.12,11501.0,6
notab,cadmdd,10,2,,0.201,0.02,3470.0,3
notab,cadmdd,10,3,,0.249,0.02,3641.0,4
notab,cadmdd,10,4,,0.308,0.02,2589.0,5
notab,cadmdd,10,5,,0.362,0.03,3713.0,6
notab,cadmdd,12,2,,0.245,0.06,9961.0,3
notab,cadmdd,12,3,,0.301,0.07,9605.0,4
notab,cadmdd,12,4,,0.341,0.08,10865.0,5
notab,cadmdd,12,5,,0.423,0.12,11501.0,6
notab,chuffed,10,2,,0.172,0.05,520.0,3
notab,chuffed,10,3,,0.17,0.059,646.0,4
notab,chuffed,10,4,,0.166,0.032,349.0,5
notab,chuffed,10,5,,0.175,0.039,439.0,6
notab,chuffed,12,2,,0.219,0.176,1437.0,3
notab,chuffed,12,3,,0.224,0.323,3438.0,4
notab,chuffed,12,4,,0.195,0.282,2681.0,5
notab,chuffed,12,5,,0.214,0.316,2774.0,6
notab,gecode,10,2,,0.103,0.09,5944.0,3
notab,gecode,10,3,,0.115,0.079,5944.0,4
notab,gecode,10,4,,0.121,0.103,5944.0,5
notab,gecode,10,5,,0.132,0.104,5944.0,6
notab,gecode,12,2,,0.111,0.269,44094.0,3
notab,gecode,12,3,,0.125,0.311,44094.0,4
notab,gecode,12,4,,0.126,0.307,44094.0,5
notab,gecode,12,5,,0.126,0.297,44094.0,6
notab,minicon,10,2,,0.099,0.028426,10857.0,3
notab,minicon,10,3,,0.109,0.056854,10377.0,4
notab,minicon,10,4,,0.102,0.064462,10489.0,5
notab,minicon,10,5,,0.107,0.068337,10505.0,6
notab,minicon,12,2,,0.106,0.202812,77680.0,3
notab,minicon,12,3,,0.115,0.422211,83159.0,4
notab,minicon,12,4,,0.108,0.524802,84558.0,5
notab,minicon,12,5,,0.107,0.571426,81527.0,6
notab,minion,10,2,,0.093,0.015878,6012.0,3
notab,minion,10,3,,0.111,0.029299,6231.0,4
notab,minion,10,4,,0.107,0.035714,6242.0,5
notab,minion,10,5,,0.104,0.039649,6230.0,6
notab,minion,12,2,,0.104,0.114016,43964.0,3
notab,minion,12,3,,0.11,0.246992,45729.0,4
notab,minion,12,4,,0.108,0.280142,45720.0,5
notab,minion,12,5,,0.11,0.311525,45679.0,6
tab,cadical,10,2,0.033,0.209,0.0,53.0,3
tab,cadical,10,3,0.125,0.519,0.12,32.0,4
tab,cadical,10,4,0.675,1.998,1.26,19.0,5
tab,cadical,10,5,4.989,8.176,13.39,15.0,6
tab,cadical,12,2,0.066,0.274,0.04,514.0,3
tab,cadical,12,3,0.259,0.839,0.30000000000000004,254.0,4
tab,cadical,12,4,1.555,3.287,3.7600000000000002,154.0,5
tab,cadical,12,5,16.372,30.778,49.53,93.0,6
tab,cadmdd,10,2,0.03,0.228,0.01,346.0,3
tab,cadmdd,10,3,0.129,0.584,0.08,298.0,4
tab,cadmdd,10,4,0.881,2.085,0.7,571.0,5
tab,cadmdd,10,5,5.309,9.923,5.970000000000001,1009.0,6
tab,cadmdd,12,2,0.066,0.312,0.04,808.0,3
tab,cadmdd,12,3,0.246,0.891,0.22,1448.0,4
tab,cadmdd,12,4,1.541,3.618,1.81,1528.0,5
tab,cadmdd,12,5,15.89,27.896,24.19,2433.0,6
tab,chuffed,10,2,0.038,0.13,0.011,180.0,3
tab,chuffed,10,3,0.106,0.303,0.047,86.0,4
tab,chuffed,10,4,0.648,1.063,0.275,60.0,5
tab,chuffed,10,5,5.393,6.873,2.708,43.0,6
tab,chuffed,12,2,0.053,0.168,0.027,240.0,3
tab,chuffed,12,3,0.274,0.508,0.127,89.0,4
tab,chuffed,12,4,1.468,2.106,0.737,69.0,5
tab,chuffed,12,5,15.317,18.978,8.663,54.0,6
tab,gecode,10,2,0.034,0.123,0.042,434.0,3
tab,gecode,10,3,0.116,0.315,0.081,142.0,4
tab,gecode,10,4,0.643,1.042,0.25,79.0,5
tab,gecode,10,5,5.057,6.227,2.816,48.0,6
tab,gecode,12,2,0.056,0.156,0.187,1012.0,3
tab,gecode,12,3,0.254,0.451,0.129,186.0,4
tab,gecode,12,4,1.538,2.167,0.699,110.0,5
tab,gecode,12,5,16.706,21.338,12.302,66.0,6
tab,minicon,10,2,0.032,0.135,0.01172,187.0,3
tab,minicon,10,3,0.119,0.32,0.115176,63.0,4
tab,minicon,10,4,0.665,1.268,1.36378,47.0,5
tab,minicon,10,5,5.218,6.979,16.1162,36.0,6
tab,minicon,12,2,0.047,0.16,0.025409,381.0,3
tab,minicon,12,3,0.246,0.512,0.251957,80.0,4
tab,minicon,12,4,1.577,2.496,3.49343,57.0,5
tab,minicon,12,5,16.111,22.19,54.4598,40.0,6
tab,minion,10,2,0.029,0.136,0.014259,227.0,3
tab,minion,10,3,0.109,0.326,0.115812,81.0,4
tab,minion,10,4,0.644,1.246,1.48474,51.0,5
tab,minion,10,5,5.221,6.606,14.8079,36.0,6
tab,minion,12,2,0.051,0.16,0.03028,519.0,3
tab,minion,12,3,0.247,0.493,0.251719,107.0,4
tab,minion,12,4,1.551,2.424,3.44433,67.0,5
tab,minion,12,5,16.488,22.408,56.0349,45.0,6
